Phone names,Final Price,Competitive Status
Samsung Galaxy A15 5G 128GB Blue Black,185.81199999999998,Not Competitive
Apple iPhone 14 Pro Max 256GB Purple,1233.089,Not Competitive
Samsung Galaxy A55,378.697,Not Competitive
Samsung Galaxy S24 Ultra 512GB 12GB RAM Titanium Black,1227.589,Not Competitive
Motorola Moto G Play 2023 3GB/32GB 16MP Camera - Navy Blue,130.9,Not Competitive
OnePlus 12 12GB RAM 256GB,776.589,Not Competitive
Samsung Galaxy A34 Dual SIM 6GB RAM 128GB Storage,263.89,Not Competitive
Xiaomi 14 Ultra Dual SIM 5G 512GB 16GB 5G White,1348.8310000000001,Not Competitive
"Apple iPhone 13 Pro Max, 128GB, Graphite - Unlocked",705.089,Not Competitive
SAMSUNG Galaxy S24 Ultra Cell Phone 256GB AI Smartphone Unlocked Android 200MP 100x Zoom Cameras,1374.989,Not Competitive
"Apple iPhone 11 A13 Bionic 4GB, 64GB 6.1inch iOS A GRADE Red (Unlocked) Refurbished",248.31400000000002,Not Competitive
Apple iPhone 12 128GB GSM/CDMA Fully Unlocked - Blue,331.089,Not Competitive
Samsung Galaxy S22 Ultra 5G 128GB Fully Unlocked SM-S908 (2022) - Red - Good Condition,386.067,Not Competitive
Apple iPhone 15 Pro Max 256GB Storage Natural Titanium,1340.9879999999998,Not Competitive
"HUAWEI nova 10 Dual Sim Smartphone, 6.67 Curved OLED Display, 8GB RAM 256 GB Storage, LTE 4G, 60 MP Front Ultra Wide Camera",309.397,Not Competitive
HUAWEI nova 11i SmartPhone,,Not Competitive
vivo V30 5G,590.282,Not Competitive
Samsung Galaxy Z Flip6 AI Smartphone,1288.5510000000002,Not Competitive
Original LG Smart Folder 4G LTE Mobile Phone Unlocked LG X100 3.3'' 2GB RAM 16GB ROM 4.9MP Camera FM Radio Android SmartPhone,176.0,Not Competitive
"HTC Status ChaCha A810a Unlocked Phone with QWERTY Keyboard, 5MP Camera, Wi-Fi and GPS - US Warranty - Silver",158.97199999999998,Not Competitive
Sony Ericsson Xperia X10 Mini E10i,243.089,Not Competitive
ASUS Phone ZA550KL-S425-1G16G-BK Zenfone Live L1 5.45 1GB 16GB Black Retail,144.089,Not Competitive
